episode,reward,alloc_lte,alloc_nr,demand_lte,demand_nr
155,-2.311585444480757,0.59999996,54.193558,25.501486,18.587196
156,-0.5111552037009719,23.212708,36.787292,25.181038,18.319748
157,-2.891957740070639,0.59999996,57.632946,25.513264,18.022594
158,-0.9450050087702895,0.59999996,0.59999996,25.58766,18.5505
159,-0.9444081301370577,0.59999996,0.59999996,25.692932,18.149801
160,-0.6722125419994782,20.77786,39.222137,25.517996,18.289495
161,-3.225710428009421,0.5948086,59.405193,24.998335,17.76006
162,-11.490838525462827,15.407884,44.59212,25.66514,18.665049
163,-0.5721964342649,22.163525,37.836475,25.427681,18.349113
164,-0.5879947903688052,38.038837,0.59999996,25.53017,18.425291
165,-0.4900349730641801,30.902002,0.59999996,25.500814,18.216019
166,-31.942553554357822,0.5957817,59.40422,25.440044,18.545357
167,-0.4977354713030132,31.545443,0.59999996,25.356312,18.413681
168,-0.9579448503961636,0.59999996,50.59932,25.463037,25.54165
169,-0.03506532043662802,28.211292,31.788704,25.349943,25.645103
170,-0.5620169336106859,14.776386,0.59999996,25.167877,25.53518
171,-0.953048489999464,0.59999996,0.59999996,25.054396,25.458183
172,-0.952690805784906,0.59999996,0.59999996,25.00098,25.122217
173,-0.05807423607637821,27.15318,32.84682,25.082735,24.68464
174,-1.2394123618441952,0.59999996,55.904015,24.926022,25.007715
175,-15.868223285418713,0.59873116,59.40127,24.658138,24.850332
176,-0.5556042276451927,0.59999996,15.086605,24.615156,25.11108
177,-0.5869040394823628,0.59999996,37.393192,24.639797,25.418861
178,-1.9538568447816598,20.567486,39.432518,24.487516,25.050426
179,-1.3936293353037428,0.59414655,59.405853,24.792524,25.230995
180,-0.04566837293072948,27.362442,32.637554,25.091627,25.332811
181,-0.9531418814160766,0.59999996,0.59999996,24.988113,25.631264
182,-0.9531305591509511,0.59999996,0.59999996,24.941534,25.667652
183,-1.3431967663278357,0.59999996,59.346283,24.973423,25.616024
184,-0.9465539683886988,0.59999996,50.003494,24.831244,25.382814
185,-0.9974780459570045,0.59999996,52.016766,24.66181,25.734507
186,-0.7975065913958748,7.081319,52.918682,24.848919,25.927385
187,-0.9532313081631436,0.59999996,0.59999996,24.830093,25.901493
188,-0.4802733478996868,0.59999996,23.188269,24.050043,25.73893
