Episode 184, Reward: -0.95, | Demand=(24.83, 25.38) | Alloc=(0.60, 50.00)
Episode 185, Reward: -1.00, | Demand=(24.66, 25.73) | Alloc=(0.60, 52.02)
Episode 186, Reward: -0.80, | Demand=(24.85, 25.93) | Alloc=(7.08, 52.92)
Episode 187, Reward: -0.95, | Demand=(24.83, 25.90) | Alloc=(0.60, 0.60)
Episode 188, Reward: -0.48, | Demand=(24.05, 25.74) | Alloc=(0.60, 23.19)
Episode 189, Reward: -1.30, | Demand=(24.70, 25.92) | Alloc=(0.60, 59.15)
Episode 190, Reward: -14.38, | Demand=(24.72, 25.95) | Alloc=(0.60, 59.40)
Episode 191, Reward: -0.29, | Demand=(25.03, 25.85) | Alloc=(16.55, 43.45)
Episode 192, Reward: -0.94, | Demand=(24.93, 17.28) | Alloc=(0.60, 0.60)
Episode 193, Reward: -0.51, | Demand=(24.86, 18.35) | Alloc=(31.88, 0.60)
Episode 194, Reward: -0.67, | Demand=(24.93, 19.47) | Alloc=(8.98, 0.60)
Episode 195, Reward: -0.95, | Demand=(24.88, 19.41) | Alloc=(0.60, 0.60)
Episode 196, Reward: -1.99, | Demand=(25.17, 19.86) | Alloc=(0.60, 54.48)
Episode 197, Reward: -0.95, | Demand=(25.72, 20.00) | Alloc=(0.60, 0.60)
Episode 198, Reward: -0.96, | Demand=(25.62, 20.01) | Alloc=(51.02, 0.60)
Episode 199, Reward: -1.97, | Demand=(25.81, 19.79) | Alloc=(0.60, 53.95)
Episode 200, Reward: -0.50, | Demand=(25.96, 19.09) | Alloc=(32.36, 0.60)
Episode 201, Reward: -0.87, | Demand=(25.85, 19.31) | Alloc=(49.04, 0.60)
Episode 202, Reward: -0.95, | Demand=(26.10, 18.93) | Alloc=(0.60, 0.60)
Episode 203, Reward: -0.66, | Demand=(22.90, 18.77) | Alloc=(0.60, 30.30)
Episode 204, Reward: -2.81, | Demand=(18.87, 18.52) | Alloc=(0.60, 58.57)
Episode 205, Reward: -0.94, | Demand=(18.56, 18.94) | Alloc=(0.60, 0.60)
Episode 206, Reward: -0.94, | Demand=(18.84, 18.70) | Alloc=(0.60, 0.60)
Episode 207, Reward: -0.89, | Demand=(19.86, 18.98) | Alloc=(38.11, 0.60)
